Song Title,Song Artist,Beat,BPM,Source,Genre
For What It's Worth,Buffalo Springfield,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,99,Default Library,Rock
Further on up the Road,Bruce Springsteen,Beat Buddy: Oldie 5- Bum cha ka moreBeat Buddy Mini: Oldie 4Beat Buddy Mini 2: Oldie 5- Bum cha ka more,125,Default Library,Rock
Gallows Pole,Great Big Sea,Beat Buddy: Techno 1Beat Buddy Mini: Techno 1Beat Buddy Mini 2: Techno 1,108,Default Library,Rock
Get it on [bang a gong],T-Rex,Beat Buddy: Country 8- Str 8Beat Buddy Mini: Country 5Beat Buddy Mini 2: Country 8- Str 8,120,Default Library,Rock
Get Ready,The Temptations,Beat Buddy: Pop 9- 8thsBeat Buddy Mini 2: Pop 9- 8ths,148,Default Library,Rock
Hard To Handle,Otis Redding,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,104,Default Library,Rock
Harvest,Neil Young,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,43,Default Library,Rock
Have You Ever Seen The Rain,Creedence Clearwater Revival,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,116,Default Library,Rock
Heard It In A Love Song,Marshall Tucker Band,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,153,Default Library,Rock
Hey Ho,Lumineers,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,180,Default Library,Rock
Hey Joe,Jimi Hendrix,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,84,Default Library,Rock
Ho Hey!,Lumineers,Beat Buddy: Rock 9Beat Buddy Mini: Rock 4Beat Buddy Mini 2: Rock 9,82,Default Library,Rock
Hold On,Alabama Shakes,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,98,Default Library,Rock
Honky Tonk Woman,Rolling Stones,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,95,Default Library,Rock
Hotel California,The Eagles,Beat Buddy: Reggae 8- swung one dropBeat Buddy Mini 2: Reggae 8- swung one drop,75,Default Library,Rock
Hotel Illness,Black Crowes,Beat Buddy: Brushes 8- Str 8Beat Buddy Mini 2: Brushes 8- Str 8,126,Default Library,Rock
House of the Rising Sun,Animals,Beat Buddy: Blues 7- 6/8Beat Buddy Mini 2: Blues 7- 6/8,100,Default Library,Rock
Hungry Like The Wolf,Duran Duran,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,129,Default Library,Rock
Hurts So Good,John Mellencamp,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,130,Default Library,Rock
I Am a Child,Neil Young,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,85,Default Library,Rock
